# Col1 =Q, Col2 = Transmittivity, COl3 = Penetration depth
1.00E-02,8.44E-01,5.17E+01
1.01E-02,8.61E-01,5.19E+01
1.02E-02,8.78E-01,5.20E+01
1.03E-02,8.95E-01,5.21E+01
1.04E-02,9.13E-01,5.23E+01
1.05E-02,9.31E-01,5.24E+01
1.06E-02,9.49E-01,5.26E+01
1.07E-02,9.67E-01,5.28E+01
1.08E-02,9.85E-01,5.29E+01
1.09E-02,1.00E+00,5.31E+01
1.10E-02,1.02E+00,5.32E+01
1.11E-02,1.04E+00,5.34E+01
1.12E-02,1.06E+00,5.36E+01
1.13E-02,1.08E+00,5.38E+01
1.14E-02,1.10E+00,5.39E+01
1.15E-02,1.12E+00,5.41E+01
1.16E-02,1.14E+00,5.43E+01
1.17E-02,1.16E+00,5.45E+01
1.18E-02,1.18E+00,5.47E+01
1.19E-02,1.20E+00,5.49E+01
1.20E-02,1.22E+00,5.51E+01
1.21E-02,1.24E+00,5.53E+01
1.22E-02,1.26E+00,5.55E+01
1.23E-02,1.28E+00,5.57E+01
1.24E-02,1.30E+00,5.59E+01
1.25E-02,1.32E+00,5.61E+01
1.26E-02,1.34E+00,5.64E+01
1.27E-02,1.36E+00,5.66E+01
1.28E-02,1.38E+00,5.68E+01
1.29E-02,1.41E+00,5.71E+01
1.30E-02,1.43E+00,5.73E+01
1.31E-02,1.45E+00,5.76E+01
1.32E-02,1.47E+00,5.78E+01
1.33E-02,1.50E+00,5.81E+01
1.34E-02,1.52E+00,5.83E+01
1.35E-02,1.54E+00,5.86E+01
1.36E-02,1.56E+00,5.89E+01
1.37E-02,1.59E+00,5.92E+01
1.38E-02,1.61E+00,5.94E+01
1.39E-02,1.63E+00,5.97E+01
1.40E-02,1.66E+00,6.00E+01
1.41E-02,1.68E+00,6.04E+01
1.42E-02,1.71E+00,6.07E+01
1.43E-02,1.73E+00,6.10E+01
1.44E-02,1.75E+00,6.13E+01
1.45E-02,1.78E+00,6.17E+01
1.46E-02,1.80E+00,6.20E+01
1.47E-02,1.83E+00,6.24E+01
1.48E-02,1.85E+00,6.27E+01
1.49E-02,1.88E+00,6.31E+01
1.50E-02,1.90E+00,6.35E+01
1.51E-02,1.93E+00,6.39E+01
1.52E-02,1.95E+00,6.43E+01
1.53E-02,1.98E+00,6.47E+01
1.54E-02,2.01E+00,6.51E+01
1.55E-02,2.03E+00,6.55E+01
1.56E-02,2.06E+00,6.60E+01
1.57E-02,2.09E+00,6.64E+01
1.58E-02,2.11E+00,6.69E+01
1.59E-02,2.14E+00,6.74E+01
1.60E-02,2.17E+00,6.79E+01
1.61E-02,2.19E+00,6.84E+01
1.62E-02,2.22E+00,6.89E+01
1.63E-02,2.25E+00,6.95E+01
1.64E-02,2.28E+00,7.00E+01
1.65E-02,2.30E+00,7.06E+01
1.66E-02,2.33E+00,7.12E+01
1.67E-02,2.36E+00,7.18E+01
1.68E-02,2.39E+00,7.24E+01
1.69E-02,2.42E+00,7.31E+01
1.70E-02,2.45E+00,7.37E+01
1.71E-02,2.47E+00,7.44E+01
1.72E-02,2.50E+00,7.52E+01
1.73E-02,2.53E+00,7.59E+01
1.74E-02,2.56E+00,7.67E+01
1.75E-02,2.59E+00,7.75E+01
1.76E-02,2.62E+00,7.83E+01
1.77E-02,2.65E+00,7.92E+01
1.78E-02,2.68E+00,8.01E+01
1.79E-02,2.71E+00,8.10E+01
1.80E-02,2.74E+00,8.20E+01
1.81E-02,2.77E+00,8.30E+01
1.82E-02,2.80E+00,8.41E+01
1.83E-02,2.83E+00,8.52E+01
1.84E-02,2.87E+00,8.64E+01
1.85E-02,2.90E+00,8.76E+01
1.86E-02,2.93E+00,8.89E+01
1.87E-02,2.96E+00,9.02E+01
1.88E-02,2.99E+00,9.16E+01
1.89E-02,3.02E+00,9.31E+01
1.90E-02,3.05E+00,9.47E+01
1.91E-02,3.09E+00,9.64E+01
1.92E-02,3.12E+00,9.82E+01
1.93E-02,3.15E+00,1.00E+02
1.94E-02,3.18E+00,1.02E+02
1.95E-02,3.22E+00,1.04E+02
1.96E-02,3.25E+00,1.07E+02
1.97E-02,3.28E+00,1.09E+02
1.98E-02,3.32E+00,1.12E+02
1.99E-02,3.35E+00,1.15E+02
2.00E-02,3.38E+00,1.18E+02
2.01E-02,3.42E+00,1.21E+02
2.02E-02,3.45E+00,1.25E+02
2.03E-02,3.49E+00,1.29E+02
2.04E-02,3.52E+00,1.34E+02
2.05E-02,3.55E+00,1.39E+02
2.06E-02,3.59E+00,1.45E+02
2.07E-02,3.62E+00,1.52E+02
2.08E-02,3.66E+00,1.59E+02
2.09E-02,3.69E+00,1.69E+02
2.10E-02,3.73E+00,1.80E+02
2.11E-02,3.76E+00,1.93E+02
2.12E-02,3.80E+00,2.11E+02
2.13E-02,3.83E+00,2.34E+02
2.14E-02,3.87E+00,2.68E+02
2.15E-02,3.90E+00,3.23E+02
2.16E-02,3.93E+00,4.36E+02
2.17E-02,3.93E+00,1.04E+03
2.18E-02,3.39E+00,1.05E+04
2.19E-02,3.14E+00,1.58E+04
2.20E-02,2.98E+00,1.97E+04
2.21E-02,2.85E+00,2.30E+04
2.22E-02,2.75E+00,2.59E+04
2.23E-02,2.66E+00,2.85E+04
2.24E-02,2.58E+00,3.09E+04
2.26E-02,2.51E+00,3.31E+04
2.27E-02,2.45E+00,3.52E+04
2.28E-02,2.40E+00,3.72E+04
2.29E-02,2.35E+00,3.91E+04
2.30E-02,2.31E+00,4.09E+04
2.31E-02,2.26E+00,4.27E+04
2.32E-02,2.23E+00,4.44E+04
2.33E-02,2.19E+00,4.60E+04
2.34E-02,2.16E+00,4.76E+04
2.35E-02,2.12E+00,4.91E+04
2.36E-02,2.09E+00,5.06E+04
2.37E-02,2.07E+00,5.21E+04
2.38E-02,2.04E+00,5.35E+04
2.39E-02,2.01E+00,5.49E+04
2.40E-02,1.99E+00,5.63E+04
2.41E-02,1.97E+00,5.76E+04
2.42E-02,1.95E+00,5.89E+04
2.43E-02,1.93E+00,6.02E+04
2.44E-02,1.91E+00,6.15E+04
2.45E-02,1.89E+00,6.27E+04
2.46E-02,1.87E+00,6.40E+04
2.47E-02,1.85E+00,6.52E+04
2.48E-02,1.83E+00,6.64E+04
2.49E-02,1.82E+00,6.75E+04
2.50E-02,1.80E+00,6.87E+04
2.51E-02,1.79E+00,6.98E+04
2.52E-02,1.77E+00,7.10E+04
2.53E-02,1.76E+00,7.21E+04
2.54E-02,1.75E+00,7.32E+04
2.55E-02,1.73E+00,7.43E+04
2.56E-02,1.72E+00,7.54E+04
2.57E-02,1.71E+00,7.65E+04
2.58E-02,1.70E+00,7.75E+04
2.59E-02,1.69E+00,7.86E+04
2.60E-02,1.68E+00,7.96E+04
2.61E-02,1.66E+00,8.06E+04
2.62E-02,1.65E+00,8.17E+04
2.63E-02,1.64E+00,8.27E+04
2.64E-02,1.63E+00,8.37E+04
2.65E-02,1.63E+00,8.47E+04
2.66E-02,1.62E+00,8.57E+04
2.67E-02,1.61E+00,8.66E+04
2.68E-02,1.60E+00,8.76E+04
2.69E-02,1.59E+00,8.86E+04
2.70E-02,1.58E+00,8.96E+04
2.71E-02,1.57E+00,9.05E+04
2.72E-02,1.57E+00,9.15E+04
2.73E-02,1.56E+00,9.24E+04
2.74E-02,1.55E+00,9.33E+04
2.75E-02,1.54E+00,9.43E+04
2.76E-02,1.54E+00,9.52E+04
2.77E-02,1.53E+00,9.61E+04
2.78E-02,1.52E+00,9.70E+04
2.79E-02,1.52E+00,9.79E+04
2.80E-02,1.51E+00,9.88E+04
2.81E-02,1.50E+00,9.97E+04
2.82E-02,1.50E+00,1.01E+05
2.83E-02,1.49E+00,1.01E+05
2.84E-02,1.48E+00,1.02E+05
2.85E-02,1.48E+00,1.03E+05
2.86E-02,1.47E+00,1.04E+05
2.87E-02,1.47E+00,1.05E+05
2.88E-02,1.46E+00,1.06E+05
2.89E-02,1.46E+00,1.07E+05
2.90E-02,1.45E+00,1.08E+05
2.91E-02,1.45E+00,1.08E+05
2.92E-02,1.44E+00,1.09E+05
2.93E-02,1.44E+00,1.10E+05
2.94E-02,1.43E+00,1.11E+05
2.95E-02,1.43E+00,1.12E+05
2.96E-02,1.42E+00,1.13E+05
2.97E-02,1.42E+00,1.13E+05
2.98E-02,1.41E+00,1.14E+05
2.99E-02,1.41E+00,1.15E+05
3.00E-02,1.40E+00,1.16E+05
3.01E-02,1.40E+00,1.17E+05
3.02E-02,1.40E+00,1.18E+05
3.03E-02,1.39E+00,1.18E+05
3.04E-02,1.39E+00,1.19E+05
3.05E-02,1.38E+00,1.20E+05
3.06E-02,1.38E+00,1.21E+05
3.07E-02,1.38E+00,1.22E+05
3.08E-02,1.37E+00,1.22E+05
3.09E-02,1.37E+00,1.23E+05
3.10E-02,1.37E+00,1.24E+05
3.11E-02,1.36E+00,1.25E+05
3.12E-02,1.36E+00,1.26E+05
3.13E-02,1.35E+00,1.26E+05
3.14E-02,1.35E+00,1.27E+05
3.15E-02,1.35E+00,1.28E+05
3.16E-02,1.34E+00,1.29E+05
3.17E-02,1.34E+00,1.30E+05
3.18E-02,1.34E+00,1.30E+05
3.19E-02,1.34E+00,1.31E+05
3.20E-02,1.33E+00,1.32E+05
3.21E-02,1.33E+00,1.33E+05
3.22E-02,1.33E+00,1.33E+05
3.23E-02,1.32E+00,1.34E+05
3.24E-02,1.32E+00,1.35E+05
3.25E-02,1.32E+00,1.36E+05
3.26E-02,1.31E+00,1.36E+05
3.27E-02,1.31E+00,1.37E+05
3.28E-02,1.31E+00,1.38E+05
3.29E-02,1.31E+00,1.39E+05
3.30E-02,1.30E+00,1.39E+05
3.31E-02,1.30E+00,1.40E+05
3.32E-02,1.30E+00,1.41E+05
3.33E-02,1.30E+00,1.42E+05
3.34E-02,1.29E+00,1.42E+05
3.35E-02,1.29E+00,1.43E+05
3.36E-02,1.29E+00,1.44E+05
3.37E-02,1.29E+00,1.45E+05
3.38E-02,1.28E+00,1.45E+05
3.39E-02,1.28E+00,1.46E+05
3.40E-02,1.28E+00,1.47E+05
3.41E-02,1.28E+00,1.48E+05
3.42E-02,1.27E+00,1.48E+05
3.43E-02,1.27E+00,1.49E+05
3.44E-02,1.27E+00,1.50E+05
3.45E-02,1.27E+00,1.51E+05
3.46E-02,1.27E+00,1.51E+05
3.47E-02,1.26E+00,1.52E+05
3.48E-02,1.26E+00,1.53E+05
3.49E-02,1.26E+00,1.53E+05
3.50E-02,1.26E+00,1.54E+05
